class_id,class_name,before_cells,after_cells,retained_ratio,retained_percent
0,unlabeled,593004,0,0.0,0.0
1,car,1249944,871035,0.6968592192930243,69.68592192930242
2,bicycle,11157,11157,1.0,100.0
3,motorcycle,9303,9303,1.0,100.0
4,truck,51270,49707,0.9695143358689292,96.95143358689292
5,other-vehicle,53355,50076,0.9385437166151251,93.85437166151252
6,person,9144,9144,1.0,100.0
7,bicyclist,4476,4476,1.0,100.0
8,motorcyclist,1827,1827,1.0,100.0
9,road,10556211,1500000,0.1420964397168643,14.20964397168643
10,parking,864516,427902,0.49496134253154367,49.496134253154366
11,sidewalk,7933488,1429572,0.1801946382221792,18.019463822217922
12,other-ground,238497,114948,0.4819683266456182,48.19683266456182
13,building,2384061,1216542,0.5102814063901888,51.02814063901888
14,fence,1591260,1022199,0.6423833942913163,64.23833942913163
15,vegetation,10609857,1499355,0.14131717326633148,14.131717326633147
16,trunk,141816,141816,1.0,100.0
17,terrain,5764293,1115313,0.19348652124380214,19.348652124380212
18,pole,61455,61455,1.0,100.0
19,traffic-sign,21075,21075,1.0,100.0
