class_id,class_name,before_cells,after_cells,retained_ratio,retained_percent
0,unlabeled,593004,0,0.0,0.0
1,car,1249944,1249944,1.0,100.0
2,bicycle,11157,11157,1.0,100.0
3,motorcycle,9303,9303,1.0,100.0
4,truck,51270,51270,1.0,100.0
5,other-vehicle,53355,53355,1.0,100.0
6,person,9144,9144,1.0,100.0
7,bicyclist,4476,4476,1.0,100.0
8,motorcyclist,1827,1827,1.0,100.0
9,road,10556211,10556211,1.0,100.0
10,parking,864516,864516,1.0,100.0
11,sidewalk,7933488,7933488,1.0,100.0
12,other-ground,238497,238497,1.0,100.0
13,building,2384061,2384061,1.0,100.0
14,fence,1591260,1591260,1.0,100.0
15,vegetation,10609857,10609857,1.0,100.0
16,trunk,141816,141816,1.0,100.0
17,terrain,5764293,5764293,1.0,100.0
18,pole,61455,61455,1.0,100.0
19,traffic-sign,21075,21075,1.0,100.0
