experiment,majority_cell_cap,class_id,class_name,before_cells,after_cells,retained_ratio,retained_percent
control,,0,unlabeled,593004,0,0.0,0.0
control,,1,car,1249944,1249944,1.0,100.0
control,,2,bicycle,11157,11157,1.0,100.0
control,,3,motorcycle,9303,9303,1.0,100.0
control,,4,truck,51270,51270,1.0,100.0
control,,5,other-vehicle,53355,53355,1.0,100.0
control,,6,person,9144,9144,1.0,100.0
control,,7,bicyclist,4476,4476,1.0,100.0
control,,8,motorcyclist,1827,1827,1.0,100.0
control,,9,road,10556211,10556211,1.0,100.0
control,,10,parking,864516,864516,1.0,100.0
control,,11,sidewalk,7933488,7933488,1.0,100.0
control,,12,other-ground,238497,238497,1.0,100.0
control,,13,building,2384061,2384061,1.0,100.0
control,,14,fence,1591260,1591260,1.0,100.0
control,,15,vegetation,10609857,10609857,1.0,100.0
control,,16,trunk,141816,141816,1.0,100.0
control,,17,terrain,5764293,5764293,1.0,100.0
control,,18,pole,61455,61455,1.0,100.0
control,,19,traffic-sign,21075,21075,1.0,100.0
cap4000,4000,0,unlabeled,593004,0,0.0,0.0
cap4000,4000,1,car,1249944,1249944,1.0,100.0
cap4000,4000,2,bicycle,11157,11157,1.0,100.0
cap4000,4000,3,motorcycle,9303,9303,1.0,100.0
cap4000,4000,4,truck,51270,51270,1.0,100.0
cap4000,4000,5,other-vehicle,53355,53355,1.0,100.0
cap4000,4000,6,person,9144,9144,1.0,100.0
cap4000,4000,7,bicyclist,4476,4476,1.0,100.0
cap4000,4000,8,motorcyclist,1827,1827,1.0,100.0
cap4000,4000,9,road,10556211,5982024,0.5666828751338904,56.66828751338904
cap4000,4000,10,parking,864516,855288,0.9893258193023611,98.93258193023611
cap4000,4000,11,sidewalk,7933488,5305647,0.6687659954864745,66.87659954864745
cap4000,4000,12,other-ground,238497,224934,0.9431313601428949,94.31313601428948
cap4000,4000,13,building,2384061,2382741,0.9994463228919058,99.94463228919058
cap4000,4000,14,fence,1591260,1572141,0.9879849930243958,98.79849930243958
cap4000,4000,15,vegetation,10609857,5676027,0.5349767673588814,53.49767673588814
cap4000,4000,16,trunk,141816,141816,1.0,100.0
cap4000,4000,17,terrain,5764293,3003015,0.5209684865082327,52.09684865082327
cap4000,4000,18,pole,61455,61455,1.0,100.0
cap4000,4000,19,traffic-sign,21075,21075,1.0,100.0
cap2000,2000,0,unlabeled,593004,0,0.0,0.0
cap2000,2000,1,car,1249944,1167777,0.9342634550027841,93.4263455002784
cap2000,2000,2,bicycle,11157,11157,1.0,100.0
cap2000,2000,3,motorcycle,9303,9303,1.0,100.0
cap2000,2000,4,truck,51270,51270,1.0,100.0
cap2000,2000,5,other-vehicle,53355,53355,1.0,100.0
cap2000,2000,6,person,9144,9144,1.0,100.0
cap2000,2000,7,bicyclist,4476,4476,1.0,100.0
cap2000,2000,8,motorcyclist,1827,1827,1.0,100.0
cap2000,2000,9,road,10556211,3000000,0.2841928794337286,28.41928794337286
cap2000,2000,10,parking,864516,666231,0.7706404508418583,77.06404508418584
cap2000,2000,11,sidewalk,7933488,2820858,0.3555634041420369,35.55634041420369
cap2000,2000,12,other-ground,238497,178593,0.7488270292708085,74.88270292708084
cap2000,2000,13,building,2384061,2022219,0.8482245211007604,84.82245211007604
cap2000,2000,14,fence,1591260,1419549,0.892091173032691,89.2091173032691
cap2000,2000,15,vegetation,10609857,2976321,0.28052413901525725,28.052413901525725
cap2000,2000,16,trunk,141816,141816,1.0,100.0
cap2000,2000,17,terrain,5764293,1933662,0.33545518938749297,33.5455189387493
cap2000,2000,18,pole,61455,61455,1.0,100.0
cap2000,2000,19,traffic-sign,21075,21075,1.0,100.0
cap1000,1000,0,unlabeled,593004,0,0.0,0.0
cap1000,1000,1,car,1249944,871035,0.6968592192930243,69.68592192930242
cap1000,1000,2,bicycle,11157,11157,1.0,100.0
cap1000,1000,3,motorcycle,9303,9303,1.0,100.0
cap1000,1000,4,truck,51270,49707,0.9695143358689292,96.95143358689292
cap1000,1000,5,other-vehicle,53355,50076,0.9385437166151251,93.85437166151252
cap1000,1000,6,person,9144,9144,1.0,100.0
cap1000,1000,7,bicyclist,4476,4476,1.0,100.0
cap1000,1000,8,motorcyclist,1827,1827,1.0,100.0
cap1000,1000,9,road,10556211,1500000,0.1420964397168643,14.20964397168643
cap1000,1000,10,parking,864516,427902,0.49496134253154367,49.496134253154366
cap1000,1000,11,sidewalk,7933488,1429572,0.1801946382221792,18.019463822217922
cap1000,1000,12,other-ground,238497,114948,0.4819683266456182,48.19683266456182
